MARPP Real personal income and regional price parities by MSA 1
MARPP Real personal income and regional price parities by MSA 1
Metropolitan Statistical Area
GeoFips,GeoName,LineCode,Description,2023
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",8,Implicit regional price deflator,105.090
11540,"Appleton, WI (Metropolitan Statistical Area)",,Real personal income,
11540,"Appleton, WI (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",14060.8
11540,"Appleton, WI (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",57057
11540,"Appleton, WI (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
11540,"Appleton, WI (Metropolitan Statistical Area)",3,RPPs: All items,93.597
11540,"Appleton, WI (Metropolitan Statistical Area)",4,"  RPPs: Goods",93.114
11540,"Appleton, WI (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",81.642
11540,"Appleton, WI (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",90.403
11540,"Appleton, WI (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",97.969
11540,"Appleton, WI (Metropolitan Statistical Area)",8,Implicit regional price deflator,112.776
11700,"Asheville, NC (Metropolitan Statistical Area)",,Real personal income,
11700,"Asheville, NC (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",25775.7
11700,"Asheville, NC (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",53680
11700,"Asheville, NC (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
11700,"Asheville, NC (Metropolitan Statistical Area)",3,RPPs: All items,96.129
11700,"Asheville, NC (Metropolitan Statistical Area)",4,"  RPPs: Goods",96.458
11700,"Asheville, NC (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",92.433
11700,"Asheville, NC (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",84.231
11700,"Asheville, NC (Metropolitan Statistical Area)",7,"  RPPs: Services: Other",98.136
11700,"Asheville, NC (Metropolitan Statistical Area)",8,Implicit regional price deflator,115.827
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",,Real personal income,
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",1,"  Real personal income (millions of constant (2017) dollars)",10536.7
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",2,"  Real per capita personal income (constant (2017) dollars) 2",47450
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",,Regional price parities and implicit price deflator,
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",3,RPPs: All items,93.278
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",4,"  RPPs: Goods",95.911
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",5,"  RPPs: Services: Housing",77.864
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",6,"  RPPs: Services: Utilities",88.107
